gender,noun,plural,translation
die,Farbe,n,the color
das,Modalverb,en,the modal verb
die,Firmenfeier,n,the company party
der,Geburtstag,e,the birthday
der,Student,en,the student
der,Montag,e,the Monday
das,Stichwort,eer,the keyword
das,Formular,e,the form
der,Apfelkuchen,,the Apple pie
die,Spaghetti,s,the spaghetti
die,Bitte,n,the request
die,Freizeitaktivität,en,the freetime activity
der,Schreibdialog,e,the writing dialogue
der,Grieche,n,the Greek
der,Platz,e,the space
der,Herr,en,the gentleman
der,Fehler,,the error
das,Olivenöl,e,olive oil
die,Aussage,n,the statement
die,Kaffeespezialität,en,the coffee specialty
der,Lieblingsfilm,e,the favorite film
der,Journalist,en,the journalist
der,Nachmittag,e,the afternoon
die,Firma,Firmen,the Company
das,Sprechtraining,s,the speaking training
der,Kursraum,e,the classroom
der,Satzakzent,e,the sentence accent
die,Spezialität,en,the specialty
der,Notruf,e,the emergency call
das,Geld,er,the money
der,Terminkalender,,the appointment calendar
der,Käufer,er,the buyer
die,Lieblingsfarbe,n,the favorite color
die,Uhrzeit,en,the time
der,Computer,,the computer
der,Kartoffelsalat,e,the potato salad
das,Satzende,n,the end of the sentence
die,Wohnungsbesichtigung,en,the apartment inspection
der,Salat,e,the salad
die,Schwester,n,the sister
die,Lücke,n,the gap
der,Kurs,e,the course
die,Reihe,en,the series
der,Vormittag,e,the morning
die,Zitro,s,the lemon
der,Beruf,e,the job
die,Cola,s,The cola
der,Lehrer,,the teacher
der,Monitor,Monitore,the display
der,Teller,,the dish
die,Verpackung,en,the packaging
der,Papa,s,the dad
die,Möglichkeit,en,the possibility
das,Paar,e,the couple
die,Schauspielerin,nen,the actress
der,Spanier,,the Spaniard
der,Wohnort,e,the place of residence
der,Buchstabe,n,the letter
die,Bohne,n,the bean
das,Heft,e,the magazine
der,Film,e,the film
der,Tipp,s,the tip
das,Lieblingslied,er,the favourite song
der,Balkon,es,the balcony
die,Katze,n,the cat
der,Architekt,en,the architect
der,Mittwoch,e,Wednesday
der,Opa,s,the grandpa
die,Kiwi,s,the Kiwi
der,Busfahrer,,the bus driver
die,Anzeige,n,the ad
das,Ratespiel,e,the guessing game
der,Kuchen,,the cake
die,Zitrone,n,the lemon
der,Tee,s,the tea
der,Onkel,,the uncle
die,Pause,n,the break
das,Haustier,e,the pet
der,Filmabend,e,the movie night
die,Verabschiedung,en,the farewell
der,Schreibtisch,e,the desk
der,Ländername,n,The name of the country
der,Einkaufszettel,,the shopping list
der,Coffeetogo,s,the Coffeetogo
das,Team,s,the team
die,Stadt,e,the city
das,Deutschbuch,er,the German Book
der,Radler,,the cyclist
der,Rock,e,the skirt
der,Artikel,,the article
der,Pole,n,the Pole
das,Verbot,e,the ban
die,Sprechblase,n,the speech bubble
der,Sprudel,,The sparkling water
das,Wohnzimmer,,the living room
die,Teeküche,n,the tea kitchen
die,Dusche,n,the shower
die,Toilette,n,the toilet
die,Nachricht,en,the message
der,Single,s,the single
der,Matjes,,the herring
das,Croissant,s,the croissant
die,Torte,n,the pie
die,Anmeldung,en,the registration
der,Gast,e,the guest
das,Besteck,e,the cutlery
das,Skateboard,s,the skateboard
der,Bergkäse,,the mountain cheese
das,Schild,er,the shield
das,Laufdiktat,e,the running dictate
der,Käufer,,the buyer
der,Buchstabensalat,e,the alphabet salad
die,Kontrolle,n,the control
die,Sprachenschule,n,The languageschool
die,Suppe,n,the soup
der,Arbeitsplatz,e,the workplace
die,Dienstleistung,en,the service
die,Mitteilung,en,the message
die,Verbform,en,the verb form
die,Limonade,en,the lemonade
die,Karotte,n,the carrot
der,Verkaufsdialog,e,the sales dialogue
das,Panaché,s,the Panache
die,Nationalität,en,the nationality
die,Reaktion,en,the reaction
der,Cent,s,cent
die,Tageszeit,en,the daytime
der,Mund,er,the mouth
der,Sonntag,e,Sunday
die,Schule,n,the school
der,Zeiger,,the pointer
die,Terasse,n,the terrace
das,Schinkenbrötchen,,the ham sandwich
das,Klassentreffen,,the class reunion
der,Hof,e,the yard
die,Zeitung,en,the newspaper
das,Geräusch,e,the noise
die,Zucchini,s,the zucchini
der,Deutsche,n,the German
das,Zahlenpaar,e,the pair of numbers
die,Rolle,n,the role
das,Beispiel,e,the example
die,Menge,n,the amount
das,Buch,er,the book
der,Käsekuchen,,the cheesecake
der,Brasilianer,,the Brazilian
die,Speise,n,the food
der,Löffel,,the spoon
das,Partnerinterview,s,the partner interview
das,Testtraining,s,the test training
das,Foto,s,the photo
die,Anweisung,en,the instruction
die,Rückseite,n,the backside
der,Freitagnachmittag,e,the Friday afternoon
der,Familienname,n,the family name
der,Vorhang,e,the curtain
der,Possessivartikel,,the possessive article
das,Fenster,,the window
das,Restaurant,s,the restaurant
das,Kettenspiel,e,the chain game
das,Stück,e,the piece
die,Liste,n,the list
das,Ei,er,the egg
das,Blatt,er,the leaf
die,Information,en,the information
das,Nomen,,Nomen
der,Sommer,,the summer
die,Banane,n,the banana
der,Kollege,n,The colleague
die,Form,en,form
das,Personalpronomen,,the personal pronoun
das,Abc,s,the alphabet
die,Markierung,en,the mark
das,Kind,er,the child
der,Ingenieur,e,the engineer
das,Kompliment,e,the compliment
die,Einladung,en,the invitation
die,Haltestelle,n,the bus stop
das,Wechselspiel,e,the interplay
der,Wiener,,the Viennese
der,Bäcker,,the Baker
die,Semmel,n,the roll
der,Spitzer,,the sharpener
der,Fisch,e,the fish
das,Tablet,s,the tablet
der,Sohn,e,the son
das,Käsebrötchen,,the cheese sandwich
der,Garten,,the garden
die,Brezel,n,the pretzel
das,Baby,s,the baby
der,Nominativ,e,The nominative
das,Familienmitglied,er,the family member
die,Speisekarte,n,the menu
der,Wohnungsgrundriss,e,the apartment floor plan
die,Abkürzung,en,the abbreviation
der,Fahrplan,e,the timetable
der,Dialog,e,the dialogue
das,Mittagessen,,the lunch
die,Aufforderung,en,the request
die,Größe,n,the size
die,Terminvereinbarung,en,the appointment arrangement
das,Adjektiv,e,the adjective
das,Jahr,e,the year
die,Terrasse,n,the terrace
die,Pantomime,n,the pantomime
der,Besuch,e,the visit
das,Telefon,e,the phone
der,Deutschkurs,e,the German course
das,Herkunftsland,er,country of origin
die,Minipizza,pizzens,the mini pizza
der,Apfelsaft,e,the Apple juice
die,Mutter,,the mother
der,Ordner,,the folder
das,Muster,,the pattern
der,Mittag,e,the midday
die,Tomate,n,the tomato
die,Südseite,n,the south side
die,Wohnungsanzeige,n,the Appartement announce
der,Feierabend,e,the end of work
der,Liter,,the liter
das,Bad,er,the bathroom
das,Poster,,the poster
das,Gramm,,the gram
der,Arzttermin,e,the doctor's appointment
der,Kaffeefleck,een,the coffee stain
das,Alsterwasser,,the Alster water
das,Kilo,s,the kilo
die,Handynummer,n,the mobile number
der,Chinese,n,the Chinese
die,Heizung,en,the heating system
der,Döner,,the kebab
der,Vermieter,,the landlord
die,Marmelade,n,the jam
der,Kettensatz,e,the chain set
der,Mensch,en,the human being
der,Gastgeber,,the host
der,Wortakzent,e,the word accent
der,Stuhl,e,the chair
die,Unterschrift,en,the signature
der,Ort,e,the place
der,Blumenstrauß,e,the bouquet
das,Getränk,e,the drink
das,Brötchen,,the bread bun
die,Gedankenblase,n,the thought bubble
die,Tochter,,the daughter
die,Hausaufgabe,n,the homework
die,Salatsoße,n,the salad dressing
die,Erlaubnis,se,the permission
der,Kindergarten,,the kindergarten
das,Arbeitszimmer,,the study
der,Raum,e,the space
die,Frage,n,the question
die,Paprika,s,the paprika
das,Interview,s,the interview
die,Küche,n,the kitchen
die,Bedienung,en,the service
das,Kompositum,Komposita,the composite
die,Pizza,Pizzens,the pizza
die,Prüfung,en,the exam
der,Partner,,the partner
der,Franzose,n,the Frenchman
die,Adresse,n,the address
das,Gespräch,e,the conversation
das,Wörterbuch,er,the dictionary
der,Joghurt,s,the yogurt
die,Tomatensoße,n,the tomato sauce
das,Thema,Themen,the topic
der,Großvater,,the grandpa
das,Wort,ere,the word
der,Langschläfer,,the late riser
die,Schokolade,n,the chocolate
die,Situation,en,the situation
das,Lieblingsbuch,er,the favorite book
die,Tabelle,n,the table
der,Quadratmeter,,the square meter
das,Lebensmittel,,the food
die,Oma,s,the grandma
die,Cafeteria,en,the cafeteria
die,Nudel,n,the noodle
das,Ziel,e,the goal
die,Uhr,en,the clock
der,Einkaufsdialog,e,the purchasing dialogue
die,Kursliste,n,the course list
der,Nachbar,n,the neighbor
der,Anrufbeantworter,,the answering machine
das,Element,e,the element
der,Flur,e,the corridor
das,Modell,e,the model
die,Gästetoilette,n,the guest toilet
die,Woche,n,the week
die,Vorwahl,en,the code
der,Einkaufswagen,,the Shopping Cart
das,Familienfoto,s,the family photo
der,Verdienst,e,the merit
das,Land,er,the country
die,Zeichnung,en,the drawing
der,Kühlschrank,e,the refrigerator
der,Pilz,e,the mushroom
die,Reihenfolge,n,the chronological order
die,Schrippe,en,the rib
das,Büro,s,the office
die,Gabel,n,the fork
der,Wunsch,e,the desire
das,Frühstück,e,breakfast
der,Marker,,the marker
der,Kaffee,s,the coffee
die,Tafel,n,the whiteboard
der,Samstagvormittag,e,the Saturday morning
die,Zeitschrift,en,the magazine
die,Schere,n,the scissors
das,Telefongespräch,e,the phone call
der,Nachmieter,,the next tenant
die,Miete,n,the rent
die,Warmmiete,n,the warm rent
das,Glas,er,the glass
die,Nacht,e,the night
der,Vater,er,the father
die,Kartoffelsuppe,n,the potato soup
das,Messer,,the knife
der,Chef,s,the boss
das,Velo,s,the Velo
das,Steak,s,the steak
die,Lampe,n,the lamp
die,Mama,s,the mom
die,Wohnungstür,en,the apartment door
die,Dose,n,the tin
der,Euro,s,the Euro
der,Cappuccino,si,the cappuccino
die,Wurst,e,the sausage
die,Satzmelodie,n,intonation
der,Mieter,,the tenant
der,Kursteilnehmer,,the course member
das,Radl,n,the bike
das,Tuch,e,the cloth
der,Hund,e,the dog
der,Apfel,,the Apple
das,Smartphone,s,the smartphone
die,Arbeit,en,the work
der,Satz,e,the sentence
der,Friseur,e,the hairdresser
das,Brot,e,the bread
die,Begrüßung,en,the greeting
der,Satzanfang,e,the beginning of the sentence
die,Familie,n,the family
der,Gruß,e,the greeting
das,Wochenende,n,the weekend
der,Radiergummi,s,the eraser
das,Spiel,e,the game
das,Zimmer,,the room
die,Telefonnummer,n,the telephone number
der,Keller,,the cellar
der,Abend,e,the evening
die,Serviette,n,The napkin
der,Vokalwechsel,,the vowel change
der,Tag,e,the day
die,Kaltmiete,n,the basic rent
die,Mehlspeise,n,the pastry
der,Dienstag,e,The Tuesday
die,Packung,en,the package
der,Kiosk,e,the kiosk
der,Hammer,er,the hammer
die,Brille,n,the glasses
der,Morgen,,the morning
die,Hilfe,n,the help
die,Dialogzeile,en,the dialogue line
die,Büronummer,n,the office number
das,Pferd,e,the horse
der,Gemüseladen,,the vegetable shop
das,Problem,e,the problem
der,Spaß,e,the fun
das,Schnitzel,,the schnitzel
das,Verb,en,the verb
die,Garage,n,the garage
das,Hobby,s,the hobby
der,Kurstag,e,the course day
das,Kinderzimmer,,the children's room
die,Karte,n,the map
das,Bild,er,the picture
die,Landkarte,en,the landkarte
der,Samstag,e,the Saturday
die,Feuerwehr,en,the fire department
die,Tante,n,the aunt
die,Zeit,en,the time
die,Million,en,the million
die,Homepage,s,the homepage
die,Maus,e,the mouse
der,Bus,se,the bus
der,Vorname,n,the first name
der,Arzt,e,the doctor
der,Freund,e,the boyfriend
der,Rhythmus,Rhythmen,the rhythm
die,Artikelgymnastik,en,the article gymnastics
der,Bruder,,the brother
die,Tasse,n,the cup
der,Handkäse,,the hand cheese
der,Start,s,the start
der,Vokal,e,the vocal
der,Schirm,e,the screen
die,Szene,n,the scene
der,Weck,e,the wake-up call
der,Städtename,n,the city name
die,Dialognummer,n,the dialogue number
der,Weißwein,e,the white wine
die,Blume,n,the flower
der,Laptop,s,the laptop
die,Süßspeise,n,the sweet dish
das,Badezimmer,,the bathroom
die,Polin,nen,The polish woman
der,Donnerstag,e,Thursday
der,Name,n,the name
die,Antwort,en,the answer
die,Silbe,n,the syllable
die,Zwiebel,n,the onion
die,Kettenübung,en,the chain exercise
der,Kontakt,e,the contact
das,Auto,s,the car
der,Monat,e,the month
der,Wein,e,the wine
die,Münze,en,the coin
die,Landeskunde,en,the regional studies
das,Haus,er,the house
der,Gegensatz,e,the opposite
die,Position,en,the position
die,Sprache,n,the language
der,Hausflur,e,the hallway
die,Seite,n,the page
der,Tisch,e,the table
das,Schlafzimmer,,the bedroom
das,Fragewort,e,the question word
das,Kabel,,the cable
der,Saft,e,the juice
der,Sessel,,the armchair
das,Fragezeichen,,questionmark
die,Zahl,en,the number
der,Dominostein,e,the domino
der,Textabschnitt,e,the text section
die,Frau,en,the woman
der,Kinderwagen,,the stroller
die,Ziffer,n,the number
der,Tagesablauf,e,the daily routine
die,Preisliste,n,the pricelist
die,Disco,s,the disco
die,Party,s,the party
das,Geschwister,,the sibling
der,Taxifahrer,,The taxi driver
das,Internetforum,foren,the internet forum
der,Akkusativ,e,the accusative
die,Person,en,the person
die,Straße,n,the street
das,Fahrrad,er,the bike
der,Spanischkurs,e,the Spanish course
der,Kalender,,the calendar
der,Preis,e,the price
die,Vorderseite,n,the front
das,Feld,er,the field
der,Wochentag,e,the weekday
die,Orange,n,the Orange
der,Emmentaler,,the Emmentaler
der,Kaiserschmarren,,the Kaiserschmarren
der,Steckbrief,e,the profile
die,Zange,n,the forceps
das,Handy,s,the phone
die,Aufzählung,en,the list
das,Fest,e,the party
der,Schweizer,,the Swiss
das,Müsli,s,the cereal
der,Freitag,e,Friday
der,Weg,e,the way
das,Sofa,s,the sofa
der,Bleistift,e,the pencil
der,Text,e,the text
das,Kapitel,,the chapter
die,Aufgabe,n,the task
der,Urlaub,e,the holidays
die,Hausnummer,n,the House number
der,Gegenstand,e,the object
die,Brause,n,the shower
der,Infinitiv,e,the infinitive
die,Kartoffel,n,the potato
der,Kuli,s,ballpen
der,Verkäufer,,the seller
die,Flasche,n,the bottle
das,Ende,n,the end
das,Familienfest,e,the family celebration
der,Nachtisch,e,the dessert
die,Aktivität,en,the activity
die,Krankenschwester,n,the nurse
der,Schlüssel,,the key
der,Mann,er,the man
die,Überschrift,en,the heading
die,Gruppe,n,the group
das,Weggli,s,the path
die,Nummer,n,the number
der,Zettel,,the note
die,Wohnung,en,the apartment
der,Termin,e,the appointment
die,Kollegin,nen,The colleague
der,Betreff,s,the subject
die,Wohngemeinschaft,en,the housemates
die,Currywurst,,the currywurst
die,Mail,s,the mail
die,Tasche,n,the pocket
das,Kursfest,e,the course festival
die,Postleitzahl,en,the area code
die,Notiz,en,the note
der,Kasten,,the box
das,Curry,s,the curry
die,Satzklammer,n,the brackets
der,Telefonanruf,e,the phone call
das,Einkaufsspiel,e,the shopping game
